week,SST,day,month,year
881,28.58094118,11,12,2006
882,28.50658824,19,11,2006
883,28.39323529,26,11,2006
884,27.8455,12,3,2006
885,27.56397059,12,10,2006
886,27.21655882,17,12,2006
887,26.68188235,24,12,2006
888,26.31638235,31,12,2006
889,26.06502941,1,7,2007
890,25.99352941,14,1,2007
891,25.97097059,21,1,2007
892,26.32067647,28,1,2007
893,26.19826471,2,4,2007
894,26.45079412,2,11,2007
895,26.61920588,18,2,2007
896,26.86511765,25,2,2007
897,27.08602941,3,4,2007
898,27.45129412,3,11,2007
899,27.73705882,18,3,2007
900,28.24311765,25,3,2007
901,28.571,4,1,2007
902,28.55429412,4,8,2007
903,29.18697059,15,4,2007
904,29.71008824,22,4,2007
905,29.95044118,29,4,2007
906,29.8795,5,6,2007
907,29.40282353,13,5,2007
908,29.46614706,20,5,2007
909,29.77985294,27,5,2007
910,29.85902941,6,3,2007
911,29.88879412,6,10,2007
912,29.73885294,17,6,2007
913,29.53432353,24,6,2007
914,29.14994118,7,1,2007
915,28.88614706,7,8,2007
916,28.98373529,15,7,2007
917,28.75870588,22,7,2007
918,28.96967647,29,7,2007
919,28.52317647,8,5,2007
920,28.56964706,8,12,2007
921,28.60838235,19,8,2007
922,28.88682353,26,8,2007
923,28.82764706,9,2,2007
924,28.57161765,9,9,2007
925,28.65826471,16,9,2007
926,28.35326471,23,9,2007
927,28.46702941,30,9,2007
928,28.55288235,10,7,2007
929,28.86444118,14,10,2007
930,28.51476471,21,10,2007
931,28.41020588,28,10,2007
932,28.67735294,11,4,2007
933,28.11758824,11,11,2007
